Default(English),Spanish,French,,,,,,
Record,Grabar,Enregistrer,,,,,,
Home,Inicio,Accueil,,,,,,
Activity,Actividad,Activité,,,,,,
Goals,Metas,Buts,,,,,,
Account,Cuenta,Compte,,,,,,
Type of Adventure,Tipo de Aventura,Type d'aventure,,,,,,
About this company,Sobre la compañía,À propos de cette entreprise,,,,,,
Account Information,Información de la Cuenta,Information sur le compte,,,,,,
Activity Details,Detalles de la Actividad,Détails de l'activité,,,,,,
Add Visa,Añadir Visa,Ajouter un visa,,,,,,
Additional Notes,Notas Adicionales,Notes complémentaires,,,,,,
Adventure Traveller,Viajero de Aventuras,Voyageur d'aventure,,,,,,
All Adventures,Todas las Aventuras,Toutes les aventures,,,,,,
Apple Pay,Apple Pay,Apple Pay,,,,,,
APPLY,APLICAR,APPLIQUER,,,,,,
APPLY CHANGE,APLICAR CAMBIO,APPLIQUER LE CHANGEMENT,,,,,,
Apply Change,Aplicar Cambio,Appliquer le changement,,,,,,
Are you sure,¿Estás seguro?,Es-tu sûr?,,,,,,
Are you sure you have completed this journey? ,¿Está seguro de haber completado este viaje? ,Êtes-vous sûr d'avoir terminé ce voyage?,,,,,,
Are you sure you would like to discard this journey? All posts will be lost ,¿Estás seguro de que quieres descartar este viaje? Todas las publicaciones se perderán ,Êtes-vous sûr de vouloir supprimer ce voyage ? Tous les messages seront perdus,,,,,,
Are you sure you would like to logout of your account,¿Está seguro de que desea cerrar la sesión de su cuenta?,Êtes-vous sûr de vouloir vous déconnecter de votre compte,,,,,,
Aviator Timer,Temporizador Aviador,Minuterie d'aviateur,,,,,,
Aviator timer,Temporizador Aviador,Minuterie d'aviateur,,,,,,
Awards,Premios,Récompenses,,,,,,
BACK,ATRÁS,ARRIÈRE,,,,,,
Back,Atrás,Arrière,,,,,,
Blood Type,Grupo Sanguíneo,Groupe sanguin,,,,,,
Boating,Navegación,Nautique,,,,,,
Brewed Passion,Pasión Elaborada,Passion brassée,,,,,,
Brewed passion,Pasión Elaborada,La passion brassée,,,,,,
Canoeing,Piragüismo,Canoë,,,,,,
Capture,Captura,Capturer,,,,,,
Card number,Número de tarjeta,Numéro de carte,,,,,,
CHECK OUT,Comprar,VÉRIFIER,,,,,,
Choose Payment Method,Elija un método de pago,Choisissez le mode de paiement,,,,,,
Choose Payment Type,Elige una forma de pago,Choisissez le type de paiement,,,,,,
Click here to switch to video,Haga clic para cambiar al vídeo,Cliquez ici pour passer à la vidéo,,,,,,
Cold weather activity,Actividad de clima frío,Activité par temps froid,,,,,,
Contact Number,Numero de Contacto,Numéro de contact,,,,,,
CONTINUE,CONTINUAR,CONTINUEZ,,,,,,
Create 15 journeys over 2 hour in duration,Crear 15 viajes de más de dos horas de duración,Créez 15 trajets sur une durée de 2 heures,,,,,,
Create 3 journeys over 5 miles in distance,Crear 3 viajes de más de 5 millas cada uno.,Créez 3 trajets sur 5 miles de distance,,,,,,
Create 3 journeys over an hours in duration,Crear 3 viajes de más de una hora de duración,Créer 3 trajets sur une durée d'une heure,,,,,,
Create 6 journeys over 10 miles in distance,Crear 6 viajes de más de 10 millas cada uno.,Créez 6 trajets sur 10 miles de distance,,,,,,
Create 8 journeys over 2 hours in duration,Crear 15 viajes de más de dos horas de duración,Créez 8 trajets sur une durée de 2 heures,,,,,,
Create a journey to unlock awards,Crear un viaje para desbloquear premios,Créez un parcours pour débloquer des récompenses,,,,,,
Create a total of 20 Journeys,Crear un total de 20 viajes,Créer un total de 20 voyages,,,,,,
Create a total of 40 Journeys,Crear un total de 40 viajes,Créer un total de 40 voyages,,,,,,
Create a total of 8 journeys,Crear un total de 8 viajes,Créer un total de 8 trajets,,,,,,
Create a total of 8 journeys,Crear un total de 8 viajes,Créer un total de 8 trajets,,,,,,
Create your 1st Journey ,Crear tu primera Viaje,Créez votre 1er voyage,,,,,,
Createa 3 journys each over 5 hours,Crear 3 viajes de más de 5 horas cada uno.,Créer 3 voyages chacun sur 5 heures,,,,,,
Createa total of 20 journeys  ,Hacer un total de 20 viajes,Créer un total de 20 trajets,,,,,,
CVV,CVV,CVV,,,,,,
Cycling,Ciclismo,Cyclisme,,,,,,
Date of Birth,Fecha de Nacimiento,Date de naissance,,,,,,
Delete Account,BORRAR CUENTA,Supprimer le compte,,,,,,
DELETE ACCOUNT,BORRAR CUENTA,SUPPRIMER LE COMPTE,,,,,,
DISCARD,BORRAR,JETER,,,,,,
DISCARD & LEAVE,DESCARTAR Y DEJAR,JETER ET LAISSER,,,,,,
DISCARD JOURNEY,BORRAR EL VIAJE,ABANDONNER LE VOYAGE,,,,,,
Discard Journey,Abandonar el viaje,ABANDONNER LE VOYAGE,,,,,,
Done,Terminar,Terminé,,,,,,
DONE,TERMINAR,TERMINÉ,,,,,,
Duration,Duración,Durée,,,,,,
Eager Beaver,Currante,Personne zélée,,,,,,
